block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aic_scalar_wait_id10_time(us),aic_scalar_wait_id2_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
7,cube0,5021.321289,9038378,1.802222,0.043957,1.733333,0.042276,4933.818359,120.337036,4.574444,0.111572,7.088276,8.605000,0.209878,42.557930,0.065718,71.144997,1.735244,21.013889,21.780556,3.991111,4521.796875,0.000000,0.210000,3.286111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.510555,0.005000,0.008889,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.668888,67804,6.740000,0.164390,5.913889,0.144241,41.484158,1.365000,0.033293,3.231314,0.084792,11.895555,0.290136,0.594444,1.548333,0.000000,0.000000,0.000000,4.615556,7.367222,0.907778,NA,NA,NA,8.699445,2.620000,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.696110,67853,4.473333,0.109106,3.751667,0.091504,32.728275,0.833889,0.020339,3.145029,0.109015,6.698333,0.163374,0.414444,1.088333,0.000000,0.000000,0.000000,3.710556,8.538889,0.781667,NA,NA,NA,12.561666,6.475555,
8,cube0,4939.958496,8891925,1.802222,0.043957,1.728333,0.042154,4855.978516,118.438499,4.647222,0.113347,6.977271,9.197222,0.224322,39.817562,0.070234,67.038330,1.635081,20.970556,21.754999,4.476111,4439.795898,0.000000,0.205556,1.487222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.815000,0.005000,0.010000,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.652222,67774,6.730000,0.164146,8.521667,0.207846,28.789289,1.986667,0.048455,2.040159,0.083514,7.448333,0.181667,0.596111,1.570556,0.000000,0.000000,0.000000,6.373889,8.080556,0.817778,NA,NA,NA,10.406667,5.653333,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.639446,67751,4.467222,0.108957,5.671111,0.138320,21.651060,0.282222,0.006883,9.292693,0.108890,6.158333,0.150203,0.418889,1.108889,0.000000,0.000000,0.000000,3.207222,10.243889,0.864444,NA,NA,NA,11.387222,10.677222,
9,cube0,4937.628418,8887731,1.802222,0.043957,1.716667,0.041870,4855.938477,118.437523,4.677778,0.114092,6.931695,8.308333,0.202642,44.077545,0.080467,68.043335,1.659593,20.932777,21.735556,3.801667,4439.283691,0.000000,0.207778,2.498333,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.571667,0.006111,0.012222,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.596668,67674,6.733333,0.164228,6.326667,0.154309,38.777561,0.631111,0.015393,6.988854,0.082535,7.282778,0.177629,0.605000,1.589444,0.000000,0.000000,0.000000,3.951111,6.720000,0.897778,NA,NA,NA,10.761111,8.168333,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.618332,67713,4.467222,0.108957,5.262222,0.128347,23.333406,0.425000,0.010366,6.451326,0.103286,6.352778,0.154946,0.412778,1.135556,0.000000,0.000000,0.000000,2.196667,6.754445,0.818333,NA,NA,NA,10.611111,11.680555,
10,cube0,5022.988281,9041379,1.802222,0.043957,1.708889,0.041680,4937.519043,120.427292,4.617778,0.112629,7.021760,9.275000,0.226220,39.483658,0.066924,67.625557,1.649404,20.947222,21.766111,4.173333,4506.257812,0.000000,0.211111,1.882222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.802222,0.005000,0.011111,NA,NA,
