block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.547779,60386,1.089971,9.591741,9.729712,1.109287,38,0.114767,8,0.024548,440.750000,50.250000,NA,NA,NA,NA,NA,NA,NA,NA,434.500000,4.358694,49.375000,0.583496,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.544445,60380,0.734006,6.396334,6.526026,0.753321,26,0.074535,6,0.018437,295.625000,34.125000,NA,NA,NA,NA,NA,NA,NA,NA,289.750000,2.906632,33.250000,0.392937,
4,cube0,30.645555,55162,18.372213,9.492402,9.155753,17.676840,54,0.066434,30,0.162752,18,0.041796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.750000,800.750000,430.000000,3.595607,35.000000,0.387423,0.000000,0.000000,768.000000,8.099499,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.203335,70566,1.619779,11.710975,11.882059,1.639095,50,0.162196,11,0.033902,538.250000,74.250000,NA,NA,NA,NA,NA,NA,NA,NA,530.500000,5.321719,73.375000,0.867119,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.576668,67638,1.087211,7.809156,7.980240,1.106527,34,0.128269,8,0.022868,361.500000,50.125000,NA,NA,NA,NA,NA,NA,NA,NA,353.750000,3.548649,49.250000,0.582019,
5,cube0,30.888889,55600,18.372213,9.492402,9.155753,17.676840,54,0.066176,30,0.129922,18,0.059134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.750000,800.750000,430.000000,3.595607,35.000000,0.387423,0.000000,0.000000,768.000000,8.099499,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.451111,60212,1.089971,9.591741,9.724194,1.109287,38,0.145297,8,0.024974,440.500000,50.250000,NA,NA,NA,NA,NA,NA,NA,NA,434.500000,4.358694,49.375000,0.583496,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.471668,60249,0.734006,6.396334,6.534305,0.753321,26,0.122390,6,0.018191,296.000000,34.125000,NA,NA,NA,NA,NA,NA,NA,NA,289.750000,2.906632,33.250000,0.392937,
6,cube0,31.305000,56349,18.372213,9.492402,9.155753,17.676840,54,0.066886,30,0.123734,18,0.074147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.750000,800.750000,430.000000,3.595607,35.000000,0.387423,0.000000,0.000000,768.000000,8.099499,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.105000,70389,1.619779,11.710975,11.879299,1.639095,50,0.166990,11,0.033437,538.125000,74.250000,NA,NA,NA,NA,NA,NA,NA,NA,530.500000,5.321719,73.375000,0.867119,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.542778,67577,1.087211,7.809156,7.971962,1.106527,34,0.128320,8,0.030814,361.125000,50.125000,NA,NA,NA,NA,NA,NA,NA,NA,353.750000,3.548649,49.250000,0.582019,
7,cube0,31.567223,56821,18.372213,9.492402,9.155753,17.676840,54,0.065762,30,0.132894,18,0.073928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.750000,800.750000,430.000000,3.595607,35.000000,0.387423,0.000000,0.000000,768.000000,8.099499,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.408333,60135,1.089971,9.591741,9.721434,1.109287,38,0.155504,8,0.025982,440.375000,50.250000,NA,NA,NA,NA,NA,NA,NA,NA,434.500000,4.358694,49.375000,0.583496,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.442223,60196,0.734006,6.396334,6.520508,0.753321,26,0.128062,6,0.017984,295.375000,34.125000,NA,NA,NA,NA,NA,NA,NA,NA,289.750000,2.906632,33.250000,0.392937,
8,cube0,23.732779,42719,12.720922,6.666757,6.330108,12.022790,38,0.045736,22,0.094341,18,0.046408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.750000,544.625000,302.000000,2.525287,34.500000,0.381888,0.000000,0.000000,512.000000,5.399666,NA,NA,NA,NA,
