block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),
12,cube0,9349.311523,16828759,2.381111,0.000466,1.984444,0.000388,9211.574219,1.801599,5.078333,0.000993,NA,9.965000,0.001949,NA,0.095510,119.765556,0.023424,0.251667,0.866667,2.978889,0.000000,0.000000,0.000000,4.376667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.552778,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.555000,78399,13.678333,0.002675,7.358889,0.001439,NA,1.011667,0.000198,NA,0.067487,8.288889,0.001621,0.913889,2.065000,0.000000,0.000000,0.000000,9.454445,14.195000,2.484444,NA,7.555000,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.537777,78368,9.857223,0.001928,6.177222,0.001208,NA,0.782222,0.000153,NA,0.080348,8.521667,0.001667,0.700556,1.576667,0.000000,0.000000,0.000000,6.127222,12.688334,2.271111,NA,7.726666,
13,cube0,9375.083984,16875153,2.381111,0.000466,1.976667,0.000387,9238.329102,1.806831,5.111667,0.001000,NA,9.395555,0.001838,NA,0.092652,119.417221,0.023356,0.255556,0.872222,3.137222,0.000000,0.000000,0.000000,2.678889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.811666,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.547779,78386,13.669444,0.002673,7.036667,0.001376,NA,1.012778,0.000198,NA,0.063498,8.462778,0.001655,0.921667,2.068333,0.000000,0.000000,0.000000,10.560000,10.753889,2.607222,NA,6.680555,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.534443,78362,9.857223,0.001928,5.673889,0.001110,NA,0.781667,0.000153,NA,0.080171,8.092222,0.001583,0.704444,1.581667,0.000000,0.000000,0.000000,6.978333,10.853889,2.122778,NA,5.727222,
14,cube0,9423.959961,16963128,2.381111,0.000466,1.967778,0.000385,9285.159180,1.815990,5.091111,0.000996,NA,8.950556,0.001751,NA,0.093041,119.933334,0.023457,0.259444,0.896667,2.884444,0.000000,0.000000,0.000000,3.954444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.511667,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.202778,90365,17.728333,0.003467,6.466667,0.001265,NA,1.590556,0.000311,NA,0.062084,10.416111,0.002037,1.013333,2.262778,0.000000,0.000000,0.000000,7.746111,10.888889,2.631667,NA,6.097778,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.390556,87103,12.557222,0.002456,5.141111,0.001005,NA,1.077222,0.000211,NA,0.074587,8.856112,0.001732,0.772778,1.734444,0.000000,0.000000,0.000000,4.055555,12.992222,2.461667,NA,6.193333,
15,cube0,9525.583984,17146052,2.378889,0.000465,1.940000,0.000379,9387.787109,1.836062,5.087222,0.000995,NA,9.715555,0.001900,NA,0.091686,119.313889,0.023335,0.255556,0.906111,2.470556,0.000000,0.000000,0.000000,3.998889,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.559999,NA,
