block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aiv_scalar_wait_id0_time(us),
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.220554,74197,19.392778,0.006250,6.398889,0.002062,64.756790,NA,NA,NA,NA,9.691667,0.003123,1.210556,2.704444,0.000000,0.000000,0.000000,12.723333,NA,NA,NA,5.511667,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.180000,74124,13.667222,0.004405,4.506111,0.001452,61.322754,NA,NA,NA,NA,9.196111,0.002964,0.888333,1.983889,0.000000,0.000000,0.000000,9.689445,NA,NA,NA,4.254445,
4,cube0,5020.268555,9036483,4.719444,0.001521,2.869444,0.000925,4932.029297,1.589439,NA,NA,NA,10.855000,0.003498,67.473236,0.095342,73.219444,0.023596,0.290556,1.002222,1.761667,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.586666,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.822777,84281,23.014444,0.007417,8.155000,0.002628,62.038532,NA,NA,NA,NA,8.572778,0.002763,1.296111,2.870000,0.000000,0.000000,0.000000,12.188889,NA,NA,NA,6.962778,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.220554,81397,16.081667,0.005183,6.177778,0.001991,54.609005,NA,NA,NA,NA,9.433333,0.003040,0.955556,2.115556,0.000000,0.000000,0.000000,7.050556,NA,NA,NA,8.349444,
5,cube0,4948.634277,8907542,5.032222,0.001622,2.848889,0.000918,4860.813965,1.566489,NA,NA,NA,11.339444,0.003654,64.590630,0.084721,71.567780,0.023064,0.281111,1.014444,3.773889,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.725000,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.176109,74117,19.392778,0.006250,7.157778,0.002307,57.891083,NA,NA,NA,NA,8.215000,0.002647,1.218889,2.732222,0.000000,0.000000,0.000000,14.041667,NA,NA,NA,7.258333,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.126667,74028,13.661111,0.004403,5.695000,0.001835,48.521004,NA,NA,NA,NA,9.516111,0.003067,0.905000,2.007222,0.000000,0.000000,0.000000,7.247222,NA,NA,NA,6.627222,
6,cube0,4960.500000,8928900,4.681667,0.001509,2.973333,0.000958,4871.078125,1.569796,NA,NA,NA,10.291667,0.003317,71.166504,0.088006,72.056114,0.023221,0.286111,1.038333,2.787778,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.970556,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.871666,84369,23.020555,0.007419,6.697778,0.002158,75.536133,NA,NA,NA,NA,9.909445,0.003194,1.305000,2.897222,0.000000,0.000000,0.000000,11.285000,NA,NA,NA,3.869444,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.257221,81463,16.075556,0.005181,5.186111,0.001671,65.051117,NA,NA,NA,NA,10.083333,0.003250,0.962222,2.144444,0.000000,0.000000,0.000000,7.310555,NA,NA,NA,8.875000,
7,cube0,5029.882812,9053789,4.653889,0.001500,2.927222,0.000943,4939.765137,1.591932,NA,NA,NA,10.591111,0.003413,69.154396,0.075124,72.702225,0.023430,0.286667,1.045556,3.176667,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.133888,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.083332,73950,19.392778,0.006250,6.573889,0.002119,63.032932,NA,NA,NA,NA,8.092222,0.002608,1.229445,2.758333,0.000000,0.000000,0.000000,14.671667,NA,NA,NA,8.592778,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.052776,73895,13.661111,0.004403,5.546667,0.001788,49.818596,NA,NA,NA,NA,7.117222,0.002294,0.911667,2.035556,0.000000,0.000000,0.000000,9.458889,NA,NA,NA,7.098889,
8,cube0,4941.210938,8894180,2.390556,0.000770,1.918333,0.000618,4858.970703,1.565894,NA,NA,NA,7.837222,0.002526,62.302845,0.106346,68.796112,0.022171,0.241667,0.822778,3.733333,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.962778,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.663334,85794,17.711111,0.005708,8.320556,0.002681,49.714977,NA,NA,NA,NA,9.020000,0.002907,0.996667,2.194444,0.000000,0.000000,0.000000,10.791667,NA,NA,NA,8.983889,
8,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.636665,82146,12.540000,0.004041,6.644444,0.002141,41.515930,NA,NA,NA,NA,8.718889,0.002810,0.755000,1.666667,0.000000,0.000000,0.000000,7.983333,NA,NA,NA,8.444445,
9,cube0,4917.614258,8851706,2.371111,0.000764,1.909444,0.000615,4836.434570,1.558632,NA,NA,NA,7.180555,0.002314,68.000488,0.106564,67.077225,0.021617,0.240000,0.831111,3.287778,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.171112,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.064999,73917,13.661111,0.004403,7.486667,0.002413,36.909233,NA,NA,NA,NA,7.818333,0.002520,0.907222,2.030000,0.000000,0.000000,0.000000,10.713889,NA,NA,NA,8.366667,
9,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.024445,73844,9.840000,0.003171,6.965000,0.002245,26.460527,NA,NA,NA,NA,8.164444,0.002631,0.692778,1.542222,0.000000,0.000000,0.000000,7.036667,NA,NA,NA,8.126111,
10,cube0,4938.547363,8889385,2.507222,0.000808,1.950000,0.000628,4857.291504,1.565353,NA,NA,NA,7.292222,0.002350,66.959183,0.114286,67.691109,0.021815,0.241111,0.837778,2.721111,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.106667,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.029999,73854,13.661111,0.004403,7.069445,0.002278,39.087532,NA,NA,NA,NA,7.586111,0.002445,0.911667,2.035000,0.000000,0.000000,0.000000,8.761666,NA,NA,NA,8.047778,
10,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.000557,73801,9.840000,0.003171,5.723889,0.001845,32.197964,NA,NA,NA,NA,8.118889,0.002616,0.690556,1.550556,0.000000,0.000000,0.000000,6.328333,NA,NA,NA,8.338333,
11,cube0,5019.365234,9034857,2.371111,0.000764,1.949444,0.000628,4933.833496,1.590020,NA,NA,NA,6.941667,0.002237,70.340637,0.102208,67.129997,0.021634,0.247778,0.861111,3.348889,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.521111,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.596668,85674,17.717222,0.005710,6.424445,0.002070,64.387856,NA,NA,NA,NA,9.633333,0.003105,1.004444,2.228889,0.000000,0.000000,0.000000,7.383333,NA,NA,NA,7.650000,
11,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.695557,82252,12.540000,0.004041,5.145555,0.001658,53.609432,NA,NA,NA,NA,8.398889,0.002707,0.762778,1.701111,0.000000,0.000000,0.000000,4.788889,NA,NA,NA,7.916667,
12,cube0,5028.347168,9051025,2.371111,0.000764,1.895000,0.000611,4945.761719,1.593865,NA,NA,NA,6.897778,0.002223,70.788200,0.103476,67.598335,0.021785,0.246111,0.869444,2.320555,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.510555,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.016666,73830,13.661111,0.004403,6.346111,0.002045,43.542751,NA,NA,NA,NA,7.912222,0.002550,0.915000,2.064445,0.000000,0.000000,0.000000,8.146667,NA,NA,NA,7.418334,
12,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.002224,73804,9.840000,0.003171,6.044445,0.001948,30.490404,NA,NA,NA,NA,7.202778,0.002321,0.698333,1.577778,0.000000,0.000000,0.000000,5.377778,NA,NA,NA,7.575000,
13,cube0,5013.314941,9023967,2.535556,0.000817,1.932222,0.000623,4929.806152,1.588723,NA,NA,NA,7.213333,0.002325,67.691483,0.090177,67.192223,0.021654,0.251111,0.874444,2.600000,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.432777,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.017776,73832,13.661111,0.004403,6.567222,0.002116,42.076714,NA,NA,NA,NA,8.362223,0.002695,0.923889,2.067222,0.000000,0.000000,0.000000,7.737222,NA,NA,NA,6.711667,
13,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.998333,73797,9.846111,0.003173,5.975000,0.001926,30.844782,NA,NA,NA,NA,8.480000,0.002733,0.704444,1.581667,0.000000,0.000000,0.000000,4.251667,NA,NA,NA,5.793334,
14,cube0,5001.817383,9003271,3.806667,0.001227,1.948889,0.000628,4917.065918,1.584617,NA,NA,NA,7.845556,0.002528,62.236671,0.084252,68.077774,0.021939,0.257222,0.897778,3.216667,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.052778,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.512779,85523,17.717222,0.005710,6.390555,0.002059,64.729309,NA,NA,NA,NA,10.032778,0.003233,1.014444,2.262222,0.000000,0.000000,0.000000,7.613333,NA,NA,NA,6.022778,
14,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.786110,82415,12.540000,0.004041,5.219444,0.001682,52.850510,NA,NA,NA,NA,9.946667,0.003206,0.771667,1.735000,0.000000,0.000000,0.000000,4.687778,NA,NA,NA,5.392778,
15,cube0,5014.087891,9025358,3.076667,0.000992,1.961667,0.000632,4930.461426,1.588934,NA,NA,NA,6.564445,0.002116,74.382713,0.096124,67.041664,0.021605,0.260000,0.903889,2.773889,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.351110,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.959999,73728,13.667222,0.004405,5.898889,0.001901,46.843925,NA,NA,NA,NA,8.234445,0.002654,0.920556,2.100000,0.000000,0.000000,0.000000,6.565556,NA,NA,NA,4.967778,
15,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.961113,73730,9.846111,0.003173,5.284444,0.001703,34.875481,NA,NA,NA,NA,7.596667,0.002448,0.709444,1.610556,0.000000,0.000000,0.000000,7.053333,NA,NA,NA,5.575555,
16,cube0,5013.484863,9024273,4.065000,0.001310,1.939444,0.000625,4928.240723,1.588218,NA,NA,NA,8.107778,0.002613,60.223812,0.101669,68.981110,0.022230,0.260556,0.911111,2.461111,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.424444,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.959999,73728,13.661111,0.004403,5.753889,0.001854,48.024414,NA,NA,NA,NA,8.276111,0.002667,0.929444,2.102778,0.000000,0.000000,0.000000,9.060555,NA,NA,NA,5.457778,
16,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.961666,73731,9.840000,0.003171,4.547222,0.001465,40.529701,NA,NA,NA,NA,7.373889,0.002376,0.715556,1.614444,0.000000,0.000000,0.000000,5.734445,NA,NA,NA,4.451111,
17,cube0,5038.838379,9069909,3.657778,0.001179,1.941111,0.000626,4954.037109,1.596532,NA,NA,NA,7.585556,0.002445,64.369873,0.095380,68.498337,0.022075,0.263333,0.936111,1.816667,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.365555,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.485554,85474,17.717222,0.005710,6.414444,0.002067,64.488243,NA,NA,NA,NA,9.999444,0.003223,1.023333,2.296111,0.000000,0.000000,0.000000,10.555000,NA,NA,NA,4.060555,
17,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.723888,82303,12.555000,0.004046,4.071667,0.001312,67.748741,NA,NA,NA,NA,9.486667,0.003057,0.785000,1.766667,0.000000,0.000000,0.000000,6.917222,NA,NA,NA,4.455000,
18,cube0,5086.029785,9154854,3.553889,0.001145,1.981667,0.000639,5002.542969,1.612163,NA,NA,NA,6.692778,0.002157,72.956444,0.090504,67.187775,0.021653,0.265000,0.942778,2.252222,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.957222,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.947777,73706,13.661111,0.004403,6.252222,0.002015,44.196629,NA,NA,NA,NA,8.220000,0.002649,0.931111,2.133333,0.000000,0.000000,0.000000,7.956111,NA,NA,NA,3.890000,
18,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.955555,73720,9.846111,0.003173,4.972778,0.001603,37.061291,NA,NA,NA,NA,7.954444,0.002563,0.718889,1.644444,0.000000,0.000000,0.000000,5.262778,NA,NA,NA,4.241111,
19,cube0,5012.117676,9021812,2.371111,0.000764,1.930000,0.000622,4930.562988,1.588966,NA,NA,NA,5.696667,0.001836,85.713501,0.090103,66.109444,0.021305,0.265000,0.951111,2.042778,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.714445,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.955002,73719,13.661111,0.004403,6.201667,0.001999,44.556911,NA,NA,NA,NA,8.683333,0.002798,0.933333,2.139444,0.000000,0.000000,0.000000,8.524445,NA,NA,NA,3.418889,
19,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.943890,73699,9.840000,0.003171,4.450555,0.001434,41.410015,NA,NA,NA,NA,7.806667,0.002516,0.720556,1.650556,0.000000,0.000000,0.000000,5.110556,NA,NA,NA,3.613889,
