block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aic_scalar_wait_id0_time(us),aic_scalar_wait_id2_time(us),aic_scalar_wait_id6_time(us),aic_scalar_wait_id7_time(us),aiv_scalar_wait_id0_time(us),aiv_scalar_wait_id14_time(us),
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.459446,76427,NA,NA,NA,NA,NA,2.070555,0.048765,22.741564,0.055862,NA,NA,NA,NA,NA,NA,NA,NA,17.781666,2.007222,NA,NA,NA,NA,2.649444,1.851667,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.430557,76375,NA,NA,NA,NA,NA,0.786667,0.018540,40.308903,0.072304,NA,NA,NA,NA,NA,NA,NA,NA,14.688889,1.002222,NA,NA,NA,NA,4.816667,7.360556,
4,cube0,41.191113,74144,NA,NA,NA,NA,NA,NA,4.276111,0.103812,7.805831,NA,NA,NA,0.045732,NA,NA,NA,NA,NA,NA,NA,NA,5.077222,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.300556,2.962778,0.028889,0.032222,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.121666,86619,NA,NA,NA,NA,NA,1.351667,0.028089,51.770050,0.056095,NA,NA,NA,NA,NA,NA,NA,NA,8.418889,2.506667,NA,NA,NA,NA,7.389444,0.952222,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.474998,83655,NA,NA,NA,NA,NA,0.973333,0.020943,48.255268,0.067515,NA,NA,NA,NA,NA,NA,NA,NA,9.306111,1.614444,NA,NA,NA,NA,7.937222,7.106667,
5,cube0,40.714443,73286,NA,NA,NA,NA,NA,NA,4.332778,0.106419,7.703741,NA,NA,NA,0.046407,NA,NA,NA,NA,NA,NA,NA,NA,3.077778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.870001,3.106667,0.027778,0.031111,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.422779,76361,NA,NA,NA,NA,NA,1.012778,0.023873,46.493584,0.056280,NA,NA,NA,NA,NA,NA,NA,NA,9.772778,2.548889,NA,NA,NA,NA,7.598889,0.303889,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.382221,76288,NA,NA,NA,NA,NA,0.772222,0.018220,41.062881,0.070996,NA,NA,NA,NA,NA,NA,NA,NA,11.057222,2.115000,NA,NA,NA,NA,11.493333,6.079444,
6,cube0,40.073891,72133,NA,NA,NA,NA,NA,NA,4.292222,0.107108,7.776532,NA,NA,NA,0.050773,NA,NA,NA,NA,NA,NA,NA,NA,5.347778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.621111,2.182778,0.022222,0.025556,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.063889,86515,NA,NA,NA,NA,NA,1.466667,0.030515,47.710808,0.054551,NA,NA,NA,NA,NA,NA,NA,NA,15.268888,2.382222,NA,NA,NA,NA,6.750556,3.471111,
