block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aic_scalar_time(us),aic_scalar_ratio,aic_scalar_single_time(us),aic_scalar_dual_time(us),aic_scalar_mte1_stall_time(us),aic_scalar_mte2_stall_time(us),aic_scalar_mte3_stall_time(us),aic_scalar_cube_stall_time(us),aic_scalar_wait_ib_time(us),aic_scalar_wait_time(us),aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aiv_scalar_time(us),aiv_scalar_ratio,aiv_scalar_single_time(us),aiv_scalar_dual_time(us),aiv_scalar_mte2_stall_time(us),aiv_scalar_mte3_stall_time(us),aiv_scalar_stall_by_ub_time(us),aiv_scalar_vector_stall_time(us),aiv_scalar_wait_ib_time(us),aiv_scalar_wait_time(us),aiv_scalar_wait_id14_time(us),
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.278889,79702,19.410000,0.366226,6.685000,0.126132,61.985264,2.600000,0.049057,18.110641,0.054455,10.556111,0.199172,1.208333,2.704444,0.000000,0.000000,0.000000,12.610556,10.820556,2.172222,2.103889,
3,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.228889,79612,13.669444,0.257914,7.121666,0.134371,38.800911,0.741667,0.013994,42.754612,0.070411,8.918333,0.168270,0.885000,1.984444,0.000000,0.000000,0.000000,6.817778,13.991667,2.270000,7.588333,
4,cube0,4527.000488,8148601,3.564445,0.067254,2.874444,0.054235,4440.721191,83.787193,4.894444,0.092348,6.819692,13.066667,0.246541,56.052692,0.048558,68.563332,1.293648,20.301111,21.012222,2.351667,4371.631348,0.000000,0.000000,4.117778,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.970554,89947,23.022778,0.434392,8.190000,0.154528,61.773411,1.461667,0.027579,47.874016,0.052166,9.737778,0.183732,1.292222,2.870556,0.000000,0.000000,0.000000,12.534445,14.583889,2.475556,1.258889,
4,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.344444,87020,16.092777,0.303637,6.130556,0.115671,55.029640,0.977222,0.018438,48.063232,0.067093,9.603889,0.181205,0.952222,2.116667,0.000000,0.000000,0.000000,7.147222,16.298334,2.204444,6.639444,
5,cube0,4444.789551,8000621,3.566667,0.067296,2.895555,0.054633,4360.599121,82.275452,5.165000,0.097453,6.462459,15.215000,0.287075,48.138142,0.061194,69.583336,1.312893,20.228333,20.946667,2.703333,4290.778809,0.000000,0.000000,4.441667,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.185555,79534,19.410000,0.366226,7.423889,0.140073,55.815960,1.066111,0.020115,44.167698,0.054178,7.953333,0.150063,1.215000,2.732778,0.000000,0.000000,0.000000,12.575000,10.228889,2.079444,0.376667,
5,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.154999,79479,13.669444,0.257914,6.676111,0.125964,41.390434,0.816667,0.015409,38.828167,0.070492,6.722222,0.126834,0.894444,2.011667,0.000000,0.000000,0.000000,6.600000,14.932777,2.208333,6.073333,
6,cube0,4429.444824,7973001,3.565556,0.067275,2.832778,0.053449,4341.483887,81.914787,4.806667,0.090692,6.944230,10.773889,0.203281,67.981201,0.043769,65.403336,1.234025,20.205555,20.957777,3.149444,4266.210449,0.000000,0.000000,0.569444,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.944443,89900,23.031666,0.434560,6.989444,0.131876,72.384041,1.423889,0.026866,49.144180,0.052861,9.879444,0.186405,1.302222,2.897222,0.000000,0.000000,0.000000,14.685555,19.095556,2.413333,1.918333,
6,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.278332,86901,16.083889,0.303470,5.480556,0.103407,61.556225,1.008333,0.019025,46.580292,0.064642,9.400556,0.177369,0.960556,2.144444,0.000000,0.000000,0.000000,6.655000,15.212222,2.080555,7.937222,
7,cube0,4407.399414,7933319,3.567778,0.067317,2.868889,0.054130,4321.381348,81.535492,5.085000,0.095943,6.564130,15.410556,0.290765,47.527287,0.053936,69.046112,1.302757,20.155001,20.905556,4.133889,4265.292969,0.000000,0.000000,1.306111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.166111,79499,19.398890,0.366017,9.042222,0.170608,45.826290,1.061111,0.020021,44.375816,0.054860,8.961111,0.169078,1.223889,2.760000,0.000000,0.000000,0.000000,15.474444,11.817223,2.515000,5.620000,
7,vector1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.127777,79430,13.678333,0.258082,7.317222,0.138061,37.763943,0.728333,0.013742,43.537304,0.069203,9.637222,0.181834,0.898333,2.041111,0.000000,0.000000,0.000000,9.886666,11.933888,2.397222,9.913889,
8,cube0,4473.291504,8051925,2.381111,0.044927,2.025556,0.038218,4393.211426,82.890785,5.052778,0.095335,6.511619,11.978889,0.226017,40.761818,0.054054,65.312775,1.232317,20.088888,20.674999,3.934444,4323.736816,0.000000,0.000000,1.941111,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.776112,91397,17.717222,0.334287,11.066112,0.208795,37.380451,1.610000,0.030377,43.463264,0.067076,9.332778,0.176090,0.992778,2.195000,0.000000,0.000000,0.000000,11.161667,12.432222,2.568889,9.342222,
